visaID,visaType,visaName,link_crawl
visa7.27,visa7,Skilled Independent visa (subclass 885),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-independent-visa-(subclass-885)
visa7.28,visa7,Skilled Regional Sponsored visa (subclass 475),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-regional-sponsored-visa-subclass-475
visa7.29,visa7,Skilled Regional Sponsored (subclass 487),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-regional-sponsored-visa-subclass-487
visa7.30,visa7,Skilled Sponsored visa (subclass 176),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-sponsored-visa-subclass-176
visa7.31,visa7,Special Program visa (subclass 416),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/special-program-visa-subclass-416
visa7.32,visa7,Sponsored visa (subclass 886),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/skilled-sponsored-visa-subclass-886
visa7.33,visa7,Sport visa (subclass 421),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/sport-visa-subclass-421
visa7.34,visa7,Superyacht Crew visa (subclass 488),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/superyacht-crew-visa-488
visa7.35,visa7,State or Territory Sponsored Regional Established Business in Australia visa (subclass 846),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/state-territory-sponsored-regional-established-business-in-australia-visa-subclass-846
visa7.36,visa7,Temporary Work (Entertainment) visa (subclass 420),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/temporary-work-entertainment-visa-subclass-420
visa7.37,visa7,Temporary Work (Skilled) visa (subclass 457),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/temporary-work-skilled-457
visa7.38,visa7,Tourist visa (subclass 676),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/tourist-visa-676
visa7.39,visa7,Temporary Work (long Stay Activity) visa (subclass 401),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/temporary-work-(long-stay-activity)-visa-(sublass-401)
visa7.40,visa7,Training and Research visa (subclass 402),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/training-and-research-visa-subclass-402
visa7.41,visa7,Visiting Academic visa (subclass 419),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/visting-academic-visa-subclass-419
visa7.42,visa7,Foreign Affairs or Defence sector visa (subclass 576),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/foreign-affairs-or-defence-sector-visa-subclass-576
visa7.43,visa7,Higher Education Sector visa (subclass 573),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/higher-education-sector-573
visa7.44,visa7,Independent ELICOS Sector visa (subclass 570),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/independent-elicos-sector-570
visa7.45,visa7,Non Award Sector visa (subclass 575),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/non-award-sector-575
visa7.46,visa7,Postgraduate Research Sector visa (subclass 574),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/postgraduate-research-sector-574
visa7.47,visa7,School Sector visa (subclass 571),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/schools-sector-571
visa7.48,visa7,Student Guardian visa (subclass 580),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/guardian-visa-subclass-580
visa7.49,visa7,Vocational Education and Training Sector visa (Subclass 572),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/repealed-visas/vocational-education-and-training-sector-572
